,eq
63,"\begin{eq}{l}
{1\over -q^2_\ro P+m^2}
=\vth (q_0^2-m^2){1\over  q_3^2-(q_0^2-m^2)}
+\vth (m^2-q_0^2){1\over q_3^2+(m^2-q_0^2) }
\"
64,"\begin{eq}{rl}
g(|m|,t)&=\int{dx_3\over 2} g(m^2,x)
=\int d^2 q
~\de(q_3)\tilde g(m^2,q)e^{iqx}\cr
g^{nc}(i|m|,z)&=\int{dx_0\over 2} g(m^2,x)
=\int d^2 q
~\de(q_0)\tilde g(m^2,q)e^{iqx}\cr
\"
65,"\begin{eq}{c}
\begin{array}{|c||c|c|}\hline
&\hbox{\bf time frame}
&\hbox{\bf position frame}\cr
&x_0=t&x_3=z\cr
\hline
\tilde g(m^2,q)& g(|m|,t)
&
 g^{nc}(i|m|,z)\cr
\hline
&(q_0, q_3)=(|m|,0)&(q_0, q_3)=(0,i|m|)\cr
\hline\hline

\hbox{\bf Lorentz scalars}&&\cr\hline

\hfill\de(m^2-q^2)&{\cos mt\over |m|}
&0\cr\hline


\hfill\ep(q_0)\de(m^2-q^2)
& i{\sin mt\over m}
&0\cr\hline


{1 \over i\pi}{1\over q^2_\ro P -m^2}
& \ep(t)i{\sin mt\over m}
&  i{e^{-  |mz|}\over |m|} \cr\hline
\hline


\hbox{\bf Lorentz vectors}&&\cr\hline


\phantom{\ep(q_0)}q\de(m^2-q^2)&{\scriptsize\pmatrix{
i\sin |m|t\cr
0\cr}}&
0\cr\hline
q\ep(q_0)\de(m^2-q^2)&
 {\scriptsize\pmatrix{
\cos mt\cr
0\cr}}
&0\cr\hline

{1 \over i\pi}{q\over q^2_\ro P -m^2}
&
{\scriptsize\pmatrix{
\ep(t)\cos mt\cr
0\cr}}
&{\scriptsize\pmatrix{
 0\cr
 \ep(z) e^{-  |mz|}\cr}}
\cr\hline
{1 \over i\pi}{q\over (q^2_\ro P -m^2)^2}
&
{\scriptsize\pmatrix{
-{t\sin |mt|\over 2|m|}\cr
0\cr}}
&{\scriptsize\pmatrix{
 0\cr
 -z {e^{-  |mz|}\over 2|m|}\cr}}
\cr\hline


\end{array}\cr\cr
\hbox{\bf Time and Position Projection for $\R^2\cong\R\pl\R$}
\cr
\"
66,"\begin{eq}{l}
\ol \C^2\ni q\mape {q \over q^2-m^2}\in\ol \C^2
\"
67,"\begin{eq}{lcrrl}
\Res{\pm |m|}{2\over q^2-m^2}
&=&\oint _{\pm |m|}{d^2q\over 2i\pi}\de(q_3){2\over q^2-m^2}
=&\oint_{\pm |m|} {dq\over 2i\pi}{2\over q^2-m^2}&=\pm {1\over |m|}\cr
\Res{\pm i|m|}{2\over q^2-m^2}&=&
\oint_{\pm i|m|} {d^2q\over 2i\pi}\de(q_0){2\over q^2-m^2}
=&-\oint_{\pm i|m|} {dq\over 2i\pi}{2\over q^2+m^2}&=-{1\over \pm i|m|}\cr
\"
68,"\begin{eq}{l}
\tr \Res{\pm |m|}{q\over q^2-m^2}
=\tr \oint _{\pm |m|}{d^2q\over 2i\pi}\de(q_3){q\over q^2-m^2}
=\oint_{\pm |m|} {dq\over 2i\pi}{2q\over q^2-m^2}=1\cr
\"
69,"\begin{eq}{rl}
(|m|,0)\inmap (q_0,q_3)\hbox{ with }e^{i|m|t}&\inmap
e^{iq_0x_0-iq_3x_3},~~q_0^2-q_3^2=m^2\cr
\R\ni t\mape e^{i|m|t},~~\R^2\ni x&\mape\int d^2 q~\de(q^2-m^2)e^{iqx}\cr
\"
70,"\begin{eq}{l}
(0,i|m|)\inmap (q_0,iQ)\hbox{ with }
e^{-|m z|}\inmap e^{iq_0x_0-|Qx_3|},~~q_0^2+Q^2=m^2\cr
\R\ni z\mape e^{-|mz|},~~\hbox{ causal } x^2\ge 0:
 \R^2\ni x\mape \int d^2q {1\over q_\ro P^2-m^2}
e^{iqx}\cr
\"
71,"\begin{eq}{l}
\R\inmap\ol\C\in q\mape {1\over q^2\mp m^2}\in\ol\C
\"
72,"\begin{eq}{l}
\R\pl\R\inmap\ol\C\pl\ol \C=\ol\C^2\ni q\mape {1\over q^2-m^2}\in\ol\C
\"
73,"\begin{eq}{l}
(q_0,\Ga;q_3,Q)\in\R^4:~~
\left\{\begin{array}{rl}
q_0^2-\Ga^2-q_3^2+Q^2&=m^2\cr
q_0\Ga-q_3Q&=0\cr\end{array}\right.
\"
74,"\begin{eq}{l}
m^2>0,~~\SO_0(1,1):~\left\{\begin{array}{llll}
q_0^2-q_3^2&=m_0^2,&
(q_0,q_3)&=m_0(\cosh\psi,\sinh\psi)\cr
\Ga^2-Q^2&=-m_3^2,&(\Ga,Q)&=m_3(\sinh\psi,\cosh\psi)\cr\end{array}\right.
\"
75,"\begin{eq}{l}
\SO(2):~~\left\{\begin{array}{rl}
m_0^2+m_3^2&=m^2\then (m_0,m_3)=|m|(\cos\al,\sin\al)\cr
q_0^2+Q^2&=m^2\cosh^2\psi\cr
q_3^2+\Ga^2&=m^2\sinh^2\psi\end{array}\right.
\"
76,"\begin{eq}{rcl}
\R\pl\C\ni(q_0,0;q_3,Q):
&&\{q\mid q_0^2-q_3^2=m^2,~Q=0\}\cr
&\cup& \{q\mid q_0^2+Q^2=m^2,~q_3=0\}\cr
\"
77,"\begin{eq}{l}
\C\pl\R\ni(q_0,\Ga;q_3,0):~~\{q\mid q_0^2-q_3^2=m^2,~\Ga=0\}
\"
78,"\begin{eq}{l}
m^2=0:~~(\Ga,Q)=0\hbox{ or } (q_0,q_3)=0\then  \hbox{ trivial }\SO(2)
\"
79,"\begin{eq}{l}
\pm{1\over i\pi}{\Ga(1+n_1)\over (q^2\mp io-m_1^2)^{1+n_1}}
*\cdots*
\pm{1\over i\pi}{\Ga(1+n_k)\over (q^2\mp io-m_k^2)^{1+n_k}}
 \cr
\hskip2cm=
(\pm{1\over i\pi})^k\int d^2 q_1\cdots
d^2 q_k  \de ({\SUM_{j=1}^k}q_j-q)
{\PROD_{j=1}^k}{\Ga(1+ n_j )\over (q_j^2\mp io -m_j^2)^{1+ n_j} }  \cr
\"
80,"\begin{eq}{rl}
 {\Ga(\nu_1)\cdots \Ga(\nu_k)\over R_1^{\nu_1}\cdots  R_k^{\nu_k}}
&=\int_0^1d\ze_1\cdots\int_0^1 d\ze_k\de(\ze_1+\dots+\ze_k-1)
{\ze_1^{\nu_1-1}\cdots\ze_k^{\nu_k-1}\Ga(\nu_1+\dots+\nu_k)
\over( R_1\ze_1+\ldots+ R_k\ze_k)^{\nu_1+\dots+\nu_k} }\cr
&\nu_j\in\R,~~\nu_j\ne0,-1,-2,\dots
\"
81,"\begin{eq}{l}
\pm{1\over i\pi}{{\scriptsize\pmatrix{1\cr q\cr}}
\Ga(1+n_1)\over (q^2\mp io-m_1^2)^{1+n_1}}
*\pm{1\over i\pi}{{\scriptsize\pmatrix{1\cr q\cr}}\Ga(1+n_2)\over (q^2\mp io-m_2^2)^{1+n_2}}\cr
\hskip10mm ={1\over i\pi}\int_0^1d\ze_{1,2}\de(\ze_1+\ze_2-1)\int {d^2p\over i\pi}
{{\scriptsize\pmatrix{1&q\ze_1\cr q\ze_2
&-p\ox p+ q\ox q\ze_1\ze_2\cr}}\ze_1^{n_1}\ze_2^{n_2} \Ga(2+ n_1+ n_2)
\over\brack{
 p^2\mp io+q^2\ze_1\ze_2  -m_1^2\ze_1 -m_2^2\ze_2 }^{2+ n_1+ n_2}   }\cr
\"
82,"\begin{eq}{l}
\pm\int{d^2p\over i\pi}{\Ga(2+n)\over (p^2\mp io+a)^{2+n}}
=\pm\int{d^2p\over i\pi}{p^2~\Ga(3+n)\over (p^2\mp io+a)^{3+n}}
={\Ga(1+n)\over (\mp io+a)^{1+n}}\cr
\"
83,"\begin{eq}{l}
\pm{1\over i\pi}{\Ga(1+ n_1 )\over(q^2\mp io-m_1^2)^{1+ n_1}}
*\pm{1\over i\pi}
{\Ga(1+ n_2) \over(q^2\mp io-m_2^2)^{1+ n_2}}\cr
\hskip40mm=\pm{1\over i\pi}
\int_0^1 d\ze  {\ze^{ n_1}(1-\ze)^{ n_2} \Ga(1+ n_1+ n_2)
\over[(q^2\mp io)\ze(1-\ze)-m_1^2\ze -m_2^2(1-\ze)]^{1+ n_1+ n_2} }\cr
\"
84,"\begin{eq}{rl}
\pm \int{ d^{1+s}q\over i\pi}~
{1\over q^2\mp io -m^2}
e^{iqx}
= \int d^{1+s}q[1\pm\ep(q_0x_0)]\de(q^2-m^2)e^{iqx}\cr
\"
85,"\begin{eq}{l}
(\de^1\pm i\ro P^1)*(\de^2\pm i\ro P^2)=
\de^{1*2}\pm i\ro P^{1*2},\left\{\begin{array}{rl}
\de^{1*2}&=\de^1*\de^2-\ro P^1*\ro P^2\cr
\ro P^{1*2}&=\de^1*\ro P^2
+\ro P^1*\de^2\cr
\end{array}\right.\cr
\"
86,"\begin{eq}{rccl}
[1\pm\ep(q_0x_0)][1\pm\ep(p_0x_0)]\hskip-3mm&=\hskip-3mm&
[1+\ep(q_0p_0)]\hskip-3mm&\pm[\ep(q_0)+\ep(p_0)]\ep(x_0)\cr
\hskip-3mm&=\hskip-3mm&2[\vth(q_0)\vth(p_0)+\vth(-q_0)\vth(-p_0)]
\hskip-3mm&\pm[\ep(q_0)+\ep(p_0)]\ep(x_0)\cr
\"
87,"\begin{eq}{rrl}
\pm{1\over i\pi} {1\over q^2\mp io -m_1^2}
*\pm{1\over i\pi}{1\over q^2\mp io-m_2^2}
\hskip-3mm&=2\Bigl[~~&\hskip-2mm\vth(+q_0)\de(q^2-m_1^2)
*\vth(+q_0)\de(q^2-m_2^2)\cr
&+&\hskip-2mm\vth(-q_0)\de(q^2-m_1^2)
*\vth(-q_0)\de(q^2-m_2^2)\Bigr]\cr
&\hskip5mm\pm\hfill&\hskip-5mm{1\over i\pi}
\Bigl[\de(q^2-m_1^2)*{1\over q^2_\ro P-m_2^2}+
{1\over q^2_\ro P-m_1^2}*\de(q^2-m_2^2)\Bigr]
\"
88,"\begin{eq}{rl}
\vth(\pm q_0)\de(q^2-m_1^2)*\vth(\pm q_0)\de(q^2-m_2^2)
&\sim\vth(\pm q_0)\vth(q^2-m_+^2)\cr
\"
89,"\begin{eq}{l}
\vth(\pm q_0)\vth(q^2-m^2)
=\vth(\pm q_0)\int_0^{\rvec q^2}d \rvec p^2\de(q_0^2-\rvec p^2-m^2)\cr
\"
90,"\begin{eq}{rl}
\{q\succeq |m_1|\}
+\{q\succeq |m_2|\}
&=\{q\succeq |m_+|\}\cr
\vth(\pm q_0)\vth(q^2-m_1^2)*\vth(\pm q_0)\vth(q^2-m_2^2)
&\sim\vth(\pm q_0)\vth(q^2-m_+^2)\cr
\"
91,"\begin{eq}{l}
\begin{array}{rlrr}
\de&=\de_\od+\de_\and,&
\de^1*\de^2=&(\de^1_\od+\de^1_\and)*(\de^2_\od+\de^2_\and)\cr
\ro P&\sim i\ep(x_0)(\de_\od-\de_\and),&
\ro P^1*\ro P^2=&
-(\de^1_\od-\de^1_\and)*(\de^2_\od-\de^2_\and)\cr
\end{array}\cr
\de^{1*2}=\de^1*\de^2-\ro P^1*\ro P^2
=2(\de_\od^1*\de_\od^2+\de_\and^1*\de_\and^2)
\sim\int_{\R^s} 2\de^{1+2}\cr
\hskip30mm\hbox{with }\de_\ar\in \cl D'(\d \R^{1+s}_\ar)\cr
\"
92,"\begin{eq}{l}
\hbox{only for time: }
\ro P^{1*2}
=\de^1*\ro P^2+\ro P^1*\de^2
\sim 2i\ep(t)(\de^1_\od*\de^2_\od-\de^1_\and*\de^2_\and)
\sim 2\ro P^{1+2}
\"
93,"\begin{eq}{rlccc}
\de(q^2-m^2)&\sim& \vth(q^2-m^2)\cr
{1\over q_\ro P^2-m^2}
&\sim& \vth(q^2-m^2)&+&\vth(-q^2+m^2)\cr
&&\cup&&\cup\cr
& &\hbox{compact (free)}
&+&\hbox{noncompact}\cr
& &e^{imt}
&&e^{-|mz|}
\"
94,"\begin{eq}{l}
-P(\ze)=q^2\ze(1-\ze)-m_1^2\ze -m_2^2(1-\ze)
=-q^2[\ze-\ze_1(q^2)][\ze-\ze_2(q^2)]\cr
\ze_{1,2}(q^2)={\scriptsize {q^2- m_+  m_-\pm\sqrt{\De(q^2)}\over 2q^2}   }
\hbox{ with }\left\{\begin{array}{l}
m_\pm =|m_1|\pm |m_2|\cr
\De(q^2)=(q^2- m_+ ^2)(q^2- m_-^2)\end{array}\right.
\cr\"
95,"\begin{eq}{l}
\R^2:~\pm{1\over i\pi}{1\over q^2\mp io-m_1^2}
*\pm{1\over i\pi}
{1 \over q^2\mp io-m_2^2}=
\pm {1\over i\pi}\int_0^1  d\ze~{1\over
(q^2\mp io)\ze(1-\ze)-m_1^2\ze -m_2^2(1-\ze)}\cr\cr
\hskip8mm=
\int_0^1  d\ze\left[\de\(q^2\ze(1-\ze)-m_1^2\ze -m_2^2(1-\ze)\)
\pm {1\over i\pi}
 {1\over
q^2_\ro P\ze(1-\ze)-m_1^2\ze -m_2^2(1-\ze)}\right]\cr\cr
\hskip8mm=
{2\over\sqrt {|\De(q^2)|}}\left[\vth(q^2-m_+^2)

\mp {1\over i\pi}\vth(-\De(q^2))~
\arctan{2\sqrt{-\De(q^2)}\over  \Si(q^2)}

 \right.\cr
\hskip49.5mm\left.
\mp {1\over i\pi}~
\vth(\De(q^2))\hskip5mm\log\Big|{ \Si(q^2)-2\sqrt{\De(q^2)}
 \over  m_+^2-m_-^2} \Big|


\hskip3mm\right]\cr
\cr
\hskip8mm
 \hbox{with }
 \Si(q^2)=
(q^2 -m_+ ^2)+(q^2- m_-^2)\cr
\"
96,"\begin{eq}{rr}
\vth(-\De(q^2))=&-\vth(q^2-m_+^2)+\vth (q^2-m_-^2)\cr
\vth(\De(q^2))=&\vth(q^2-m_+^2)+\vth (m_-^2-q^2)\cr
\Big|{ \Si(q^2)-2\sqrt{\De(q^2)}
 \over  m_+^2-m_-^2}\Big|
=&\Big|{(\sqrt{m_+^2-q^2}-\sqrt{m_-^2-q^2})^2\over m_+^2-m_-^2}\Big|\hfill
\"
97,"\begin{eq}{rl}
\R:~\pm{1\over i\pi}{|m_1|\over q^2\mp io-m_1^2}
*\pm{1\over i\pi}
{|m_2| \over q^2\mp io-m_2^2}&=
\pm {1\over i\pi}\int_0^1  d\ze~{|m_1m_2|\over
[-(q^2\mp io)\ze(1-\ze)+m_1^2\ze +m_2^2(1-\ze)]^{3\over2}}\cr
&=\pm{1\over i\pi}{|m_+|\over q^2\mp io -m_+^2}\cr
\hbox{with }{1\over P(\ze)^{3\over2}}&=
-{4\over (q^2-m_+^2)(q^2-m_-^2)}{d^2\sqrt {P(\ze)}\over d\ze^2}
\"
98,"\begin{eq}{rl}
\pm \int{ d^{1+s}q\over 2i\pi}~
{1\over (q\mp io)^2 -m^2}
e^{iqx}
&= \int d^{1+s}q~\ep(q_0){1\pm\ep(x_0)\over 2}\de(q^2-m^2)e^{iqx}\cr
&= \vth(\pm x_0)\int d^{1+s}q~\ep(q_0)\de(q^2-m^2)e^{iqx}\cr
\"
99,"\begin{eq}{rl}
\pm{1\over 2i\pi}{1\over (q\mp io)^2-m_1^2}
*\pm{1\over 2i\pi}
{1 \over (q\mp io)^2-m_2^2}&=
\pm {1\over 2i\pi}\int_0^1  d\ze~{1\over
(q\mp io)^2\ze(1-\ze)-m_1^2\ze -m_2^2(1-\ze)}\cr
&={1\over 2\sqrt {|\De(q^2)}|}\left[\ep(q_0)\vth(q^2-m_+^2)
\mp {1\over i\pi}\{\dots\}\right]
\"
100,"\begin{eq}{l}
\SO_0(1,1)\sx\R^2:~~
({\stackrel{\rm R}*},q^2)=\left\{\begin{array}{ll}
(\pm{*\over i\pi},q^2\mp io),&\hbox{Feynman}\cr
(\pm{*\over 2i\pi},(q\mp io)^2),&\hbox{causal}\cr\end{array}\right.
\"
101,"\begin{eq}{l}
\R^2:~~\left\{\begin{array}{rcll}
{\Ga(1+ n_1 )\over(q^2-m_1^2)^{1+ n_1}}
&{\stackrel{\rm R}*}&{\Ga(1+ n_2) \over(q^2-m_2^2)^{1+ n_2}}&=
\int_0^1 d\ze  {\ze^{ n_1}(1-\ze)^{ n_2} \Ga(1+ n_1+ n_2)
\over[q^2\ze(1-\ze)-m_1^2\ze -m_2^2(1-\ze)]^{1+ n_1+ n_2} }\cr
{q~\Ga(1+ n_1 )\over(q^2-m_1^2)^{1+ n_1}}
&{\stackrel{\rm R}*}&
{\Ga(1+ n_2) \over (q^2-m_2^2)^{1+ n_2}}
&=\int_0^1 d\ze  {q~\ze^{ n_1}(1-\ze)^{1+ n_2} \Ga(1+ n_1+ n_2)
\over[q^2\ze(1-\ze)-m_1^2\ze -m_2^2(1-\ze)]^{1+ n_1+ n_2} }\cr
{q~\Ga(1+ n_1 )\over(q^2-m_1^2)^{1+ n_1}}
&{\stackrel{\rm R}*}&
{q~\Ga(1+ n_2) \over(q^2-m_2^2)^{1+ n_2}}
&=
\int_0^1 d\ze  { -({1\over 2}\bl1_2+q\ox q{\p\over\p q^2})
\ze^{n_1}(1-\ze)^{n_2} \Ga(n_1+ n_2)
\over[q^2\ze(1-\ze)-m_1^2\ze -m_2^2(1-\ze)]^{n_1+ n_2} }\cr\end{array}\right.
\"
102,"\begin{eq}{l}
\R:~~\left\{\begin{array}{c}
({\stackrel{\rm R}*},q)=
(\pm{*\over 2i\pi},q\mp io)\cr
{\Ga(1+ n_1 )\over (q-m_1)^{1+ n_1}}
~{\stackrel{\rm R}*}~{\Ga(1+ n_2) \over(q-m_2)^{1+ n_2}}=
{\Ga(1+ n_1+ n_2)
\over [q-(m_1+m_2)]^{1+ n_1+ n_2} }\cr\end{array}\right.
\"
103,"\begin{eq}{l}
\ol \C\ni q\mape
{P^n(q)\over P^m(q)}={a_0+a_1q+\dots+a_nq^n\over b_0+b_1q+\dots+b_mq^m}\in\ol \C,~~
a_j,b_j\in\C,~b_m\ne 0,~~n-m\le-1
\"
104,"\begin{eq}{rrll}
\hbox{time }\R:&
{1\over q}
~~{\stackrel{\rm R}*}&{1\over q-m}
&={1 \over q-m}\cr
\hbox{spacetime }\R^2:&{q\over q^2}
~~{\stackrel{\rm R}*}&{q  \over(q^2-m^2)^2}
&=-({1\over 2}\bl1_2+q\ox  q {\p\over\p q^2})
\int_0^1 d\ze{1\over q^2\ze-m^2 }
\cr
&&\int_0^1d\ze{1\over q^2\ze-m^2 }
&={\log {m^2- q^2\over m^2}\over q^2}
\"
105,"\begin{eq}{l}
\log (1- {q^2\pm io\over m^2})
=\vth(q^2-m^2)[\pm i\pi+\log ({q^2\over m^2}-1)]
+\vth(-q^2+m^2)\log (1-{q^2\over m^2})\cr
\"
106,"\begin{eq}{l}
\int_a^bdz~f(z)={\sum\Res{}}[f(z)\log{z-b\over z-a}],~~
\int_0^\infty dz~f(z)=-{\sum\Res{}}[f(z)\log z]
\"
107,"\begin{eq}{rl}
-\int_0^1
d\ze{1\over q^2\ze-m^2 }&=
{M^2({m^2\over q^2})\over q^2}\cr
M^2({m^2\over q^2})
=-\int_{0}^{1}
{d\ze\over \ze-{m^2\over q^2}}&=-\sum\Res{}[{1\over \ze-{m^2\over q^2}}
\log{\ze-1\over \ze}]=-\log (1- {q^2\over m^2})
\"
108,"\begin{eq}{rl}
\R\pl [\R_\od\x\I(2)]\cong\R^2&\inmap\R^4\cong\R\pl [\R_\od\x\Om^2]\cr
{\scriptsize\pmatrix{x_0+x_3&0\cr0&x_0- x_3\cr}}
&\inmap
{\scriptsize\pmatrix{x_0+x_3&x_1-ix_2\cr
x_1+ix_2&x_0-x_3\cr}}
=u({\rvec x\over r}){\scriptsize\pmatrix{x_0+r&0\cr
0&x_0-r\cr}} u^\star({\rvec x\over r})\cr
\SO_0(1,1)&\inmap \SO_0(1,3)\cong\SO_0(1,1)\x \Om^2\x\SO(2)\x\Om^2\cr
\"
109,"\begin{eq}{rrl}
\hbox{Feynman:}&\mp{1\over i\pi^2}{\Ga(2+n)\over (q^2\mp io-m^2)^{2+n}}
&=-{1\over\pi}\de^{(1+n)}(m^2-q^2)
\mp {1\over i\pi^2}{\Ga(2+n)\over (q_{\ro P}^2-m^2)^{2+n}}\cr
&\hbox{for}&n=-1,0,1,\dots\cr
\hbox{causal:}&\mp{1\over 2i\pi^2}{\Ga(2+n)\over ((q\mp io)^2-m^2)^{2+n}}
&=-{1\over2\pi}\ep(q_0)\de^{(1+n)}(m^2-q^2)
\mp {1\over 2i\pi^2}{\Ga(2+n)\over (q_{\ro P}^2-m^2)^{2+n}}\cr
&\hbox{with}&(q\mp io)^2=(q_0\mp io)^2-\rvec q^2\cr
\"
110,"\begin{eq}{rl}
\int {d^4 q\over4\pi}~
{\scriptsize\pmatrix{1\cr\ep(q_0)\vth(q^2)\cr}}
\tilde\mu(q^2)e^{iqx}
&\hskip-3mm =-{\p\over \p  r^2}\int dq_0 d q_3~
{\scriptsize\pmatrix{1\cr\ep(q_0)\vth(q_0^2-q_3^2)\cr}}
\tilde\mu(q_0^2-q_3^2)e^{iq_0x_0-  i q_3r}\cr
&\hskip-3mm ={\p\over \p  x^2}\int d^2q~
{\scriptsize\pmatrix{1\cr\ep(q_0)\vth(q^2)\cr}}
\tilde\mu(q^2)e^{iqx}\Big|_{x=(x_0,r)}\cr
\"
111,"\begin{eq}{l}
\int {d^4q\over\pi}\de(q^2-m^2)e^{iqx}=
-{\p\over\p {x^2\over 4}}
 \cl N_0(\sqrt{m^2x^2\over4})
\"
112,"\begin{eq}{rl}

\int {d^4q\over i\pi^2}
{\Ga(2+n )\over (q_{\ro P}^2-m^2)^{2+n }}e^{iqx}
&=\ep(x_0)\int {d^4q\over2\pi}\ep(q_0)\de^{(1+n)}(m^2-q^2)e^{iqx}\cr

&=i\pi({d\over dm^2})^{1+n }
{\p\over\p {x^2\over 4}} \vth(x^2)
\cl E_0({m^2x^2\over4})\cr
&=\left\{\begin{array}{rl}
i\pi[\de({x^2\over4})-\vth(x^2)m^2\cl E_1({m^2x^2\over4})],& n =-1\cr
-i\pi\vth(x^2)(-{x^2\over4})^ n \cl E_ n ({m^2x^2\over4}),
&n =0,1,\dots\end{array}\right.\cr
\"
113,"\begin{eq}{rl}
\pi g(m^2,x)&=\int {d^4q\over\pi}~e^{iqx}~\tilde g(m^2,q)=
  \int {d^3q\over\pi}~ e^{-i\rvec q\rvec x} g(q_0,x_0)\cr\cr
  &=\int dq_0~ e^{iq_0x_0}[
  \vth(q_0^2-m^2) g^c(|\rvec q|,\rvec x)
 +\vth(m^2-q_0^2) g ^{nc}(i|\rvec q|,\rvec x)]\cr
\"
114,"\begin{eq}{c}
\begin{array}{|c||c||c|c|}\hline
&\hbox{\bf time}
&\hbox{\bf position}
&\hbox{\bf position}\cr
&&\hbox{ (compact)}
&\hbox{(noncompact)}\cr\hline
\tilde g(m^2,q)& g(q_0,x_0)& g^c(|\rvec q|,\rvec x)&
 g ^{nc}(i|\rvec q|,\rvec x)\cr\hline
&q_0=\sqrt{m^2+\rvec q^2}&|\rvec q|=\sqrt{q_0^2-m^2}&
i|\rvec q|=|Q|=\sqrt{m^2-q_0^2}\cr
\hline\hline

\hbox{\bf Lorentz scalars}&&&\cr\hline


\hfill\de(m^2-q^2)& {\cos q_0x_0\over q_0}
&2{\sin |\rvec q|r\over r} &0\cr\hline




\hfill
\ep(q_0)\de(m^2-q^2)
& i{\sin q_0x_0\over q_0}
&  2\ep(q_0){\sin |\rvec q|r\over r}
&0\cr\hline

\hfill
\ep(q_0)\de'(m^2-q^2)
&
{x_0^2\over2 q_0}~ij_1(q_0x_0)
& \ep(q_0){\cos |\rvec q|r\over|\rvec q|}
&0\cr\hline





{1 \over i\pi}{1\over q^2_\ro P -m^2}
& \ep(x_0)i{\sin q_0x_0\over q_0}
&\m~2 i{\cos |\rvec q|r\over r}
&\m~ 2i{ e^{-  |Q|r}\over r} \cr\hline

{1 \over i\pi}{1\over (q^2_\ro P -m^2)^2}
&  \ep(x_0)~ {x_0^2\over 2q_0}~ ij_1(q_0x_0)
&-i{\sin |\rvec q|r\over |\rvec q|}
& -i{  e^{-  |Q|r}\over |Q|}\cr\hline\hline


\hbox{\bf Lorentz vectors}&&&\cr\hline



\hfill q\de(m^2-q^2)&
{\scriptsize \pmatrix{
\hfill i\sin q_0x_0\cr
{\rvec q\over q_0}~\cos q_0x_0\cr}}
&2\rvec q^2{\scriptsize\pmatrix{
\hfill{q_0\over|\rvec q|}~ j_0( |\rvec q|r)\cr
{\rvec x\over r}~ij_1(|\rvec q|r)
\cr}}
&0\cr\hline




q\ep(q_0)\de(m^2-q^2)&
{\scriptsize  \pmatrix{\hfill \cos q_0x_0\cr
{\rvec q\over q_0}~i\sin q_0x_0\cr}}
&\ep(q_0)2\rvec q^2{\scriptsize\pmatrix{
\hfill {q_0\over|\rvec q|}~j_0(|\rvec q|r)\cr
{\rvec x\over r}~ij_1(|\rvec q|r)
\cr}}
&0\cr\hline

q\ep(q_0)\de'(m^2-q^2)&
-{x_0^2\over2}{\scriptsize  \pmatrix{\hfill j_0(q_0x_0)\cr
{\rvec q\over q_0}~ij_1(q_0x_0)\cr}}
&\ep(q_0){\scriptsize\pmatrix{
\hfill {q_0\over|\rvec q|}~\cos|\rvec q|r\cr
{\rvec x\over r}~i\sin |\rvec q|r
\cr}}
&0\cr\hline





{1 \over i\pi}{q\over q^2_\ro P -m^2}
& \ep(x_0)
{\scriptsize  \pmatrix{
\hfill  \cos q_0x_0\cr
{\rvec q\over q_0}~i\sin q_0x_0\cr}}
&\m~2\rvec q^2{\scriptsize\pmatrix{
\hfill {q_0\over|\rvec q|}~in_0(|\rvec q|r)\cr
-{\rvec x\over r}~n_1(|\rvec q|r)
\cr}}
&\m~2|Q|^2{\scriptsize\pmatrix{
\hfill -i{q_0\over |Q|}~ k_0(|Q|r) \cr
\hfill {\rvec x\over r}~k_1(|Q|r)\cr}}
 \cr\hline



{1 \over i\pi}{q\over (q^2_\ro P -m^2)^2}
& -\ep(x_0) {x_0^2\over2}
{\scriptsize  \pmatrix{
\hfill j_0(q_0x_0)\cr
{\rvec q\over q_0}~ ij_1(q_0x_0)
\cr}}
&\o\hfill-{\scriptsize\pmatrix{
 {q_0\over |\rvec q|}~i\sin  |\rvec q|r\cr
\hfill{\rvec x\over r}~\cos  |\rvec q|r\cr}}
&\o\hfill -{\scriptsize\pmatrix{
\hfill i{q_0\over |Q|} \cr {\rvec x\over r}\cr}}
e^{-  |Q|r}
 \cr\hline




\end{array}\cr\cr
\hbox{\bf Time and Position Representations for $\R^4$-Spacetime}
\"
115,"\begin{eq}{l}
{\p\over\p |m|}=2|m|{\p\over\p m^2}\cong
{|m|\over q_0}{\p\over \p q_0}
\cong-{|m|\over |\rvec q|}{\p\over \p |\rvec q|}
\cong  {|m|\over |Q|}{\p\over \p |Q|}\cr
\"
