~~w_{e}^{\prime }=w_{-e}^{\prime }\,,\label{we}\\
&&\sqrt{2}\,v_{o}^{\prime }=v_{|o|}={i^{|o|-1}}\frac{\prod_{e^{\prime}>0}
\left\vert 1-\kappa _{|o|}^{2}/\kappa _{e^{\prime }}^{2}
\right\vert ^{\frac{1}{2}}}{\prod_{o'>0, o^{\prime }\neq |o|}
\left\vert 1-\kappa _{|o|}^{2}/\kappa_{o^{\prime }}^{2}\right\vert ^{\frac{1}{2}}}\,,~~
v_{o}^{\prime}=v_{-o}^{\prime }
\label{prime}
\end{eqnarray}
where now the indices $\left( e,o\right) $ run over the finite set $e=\pm
2,\pm 4,\dots ,\pm 2N$ and $o=\pm 1,\pm 3,\dots ,\pm (2N-1)$.
It is easy to check explicitly that in the limit $N\rightarrow \infty $ 
and $\kappa_{e}=e, $ $\kappa _{o}=o,$ these expressions reduce to 
Eq.(\ref{eq:UU^-1limit}).

The regulated expressions for these matrices look considerably more
complicated than their large $N$ limit. Therefore, it may appear that this
would create a problem in analytic computations. Actually this is not the
case at all, because in analytic computations one uses the matrix relations
satisfied by these matrices rather than the explicit matrices themselves.
The relations are preserved in the regularized version for any $N,$ and they
look the same as their $N=\infty $ counterpart. Therefore analytically the
expressions in any computation look the same in the regulated or infinite
versions as long as they are written in terms of these matrices without
using their explicit form. The explicit construction of the regulated
version insures associativity and eliminates the ambiguity of the
associativity anomaly as explained below. Thus, in addition to the basic
defining relations (\ref{eq:Udef}) which are the same for any $N,$ including 
$N=\infty $, there are more relations among $U,U^{-1},v^{\prime },w^{\prime }
$ that can now be derived from the defining relations alone for any $%
N,\kappa _{e}^{\prime },\kappa _{o}^{\prime }$ : 
\begin{eqnarray}
&&UU^{-1}=1\,,\quad U^{-1}U=1\,,\quad {\bar{U}}^{-1}U^{-1}=1+w^{\prime }\bar{%
w}^{\prime }\,,\quad \bar{U}U=1-v^{\prime }\bar{v}^{\prime }\,,
\label{eq:Umama} \\
&&U\bar{U}=1-{\frac{w^{\prime }\bar{w}^{\prime }}{1+\bar{w}^{\prime
}w^{\prime }}}\,,\quad Uv^{\prime }={\frac{w^{\prime }}{1+\bar{w}^{\prime
}w^{\prime }}}\,,\quad \bar{v}^{\prime }v^{\prime }={\frac{\bar{w}^{\prime
}w^{\prime }}{1+\bar{w}^{\prime }w^{\prime }}}\,,  \label{eq:Umodify} \\
&&U^{-1}w^{\prime }=v^{\prime }(1+{\bar{w}}^{\prime }w^{\prime })\,,\quad
U^{-1}\bar{U}^{-1}=1+v^{\prime }\bar{v}^{\prime }(1+\bar{w}^{\prime
}w^{\prime })\,,  \label{eq:Umodify2} \\
&&1+\bar{w}^{\prime }w^{\prime }={\frac{\prod_{e}\kappa _{e}^{\prime }}{%
\prod_{o}\kappa _{o}^{\prime }}}\,={\frac{\prod_{e>0}\kappa _{e}^{2}}{%
\prod_{o>0}\kappa _{o}^{2}}}\,.  \label{w2+1}
\end{eqnarray}
In particular note that Eqs.(\ref{e_UUanomaly}) are now deformed into Eqs.(%
\ref{eq:Umodify}), and that $\bar{w}^{\prime }w^{\prime }\rightarrow
2N\rightarrow \infty $ in the large $N$ limit. Thus, the deformed algebra
actually holds also at $N=\infty ;$ it simply makes explicit the behavior as
a function of $N.$ With this, the associativity anomaly hidden in the
original algebra is now resolved and the matrix algebra for all the matrices 
$U,U^{-1},T,R,S,\tilde{T},v,w,\tilde{v},\tilde{w},\tilde{u}$ defined through
Eqs.(\ref{eqs_defns1}--\ref{prime}) becomes associative.

In particular, from Eq.(\ref{eqs_defns1}--\ref{eqs_defns3}) we obtain the
regularized matrices, such as $T,R,S$, 
\begin{equation}
T_{eo}={\frac{w_{e}v_{o}\kappa _{o}^{2}}{\kappa _{e}^{2}-\kappa _{o}^{2}}}%
\,,\quad R_{oe}={\frac{w_{e}v_{o}\kappa _{e}^{2}}{\kappa _{e}^{2}-\kappa
_{o}^{2}}}\,,\quad S_{eo}={\frac{w_{e}v_{o}\kappa _{e}\kappa _{o}}{\kappa
_{e}^{2}-\kappa _{o}^{2}}}\,.  \label{eqs:defns}
\end{equation}
From the relations among $U,w^{\prime },v^{\prime }$ we can derive the
relations among $T,R,v,w,S,\tilde{T},\tilde{u},\tilde{v},\tilde{w}$. The
deformed algebra among $T,R,w,v$ (\ref{relations}) is already given in \cite
{BM1}, while the deformed algebra among $S,\tilde{T},\tilde{u},\tilde{v},
\tilde{w}$ which replaces (\ref{ss},\ref{eq:til_mat_rel_infty}) is\footnote{
Note that for finite $N$, the continuity condition at the midpoint (\ref
{CONTI}) is not satisfied because $S\tilde{w}\neq 0$. However, we recover
it, as well as all other infinite matrix relations by taking the open string
limit $\kappa _{e}=e,\kappa _{o}=o,N=\infty $.}, 
\begin{eqnarray}
&&S=\kappa _{e}^{2}\tilde{T}\kappa _{o}^{-2}\,,\quad S=\tilde{T}-\tilde{v}%
\bar{\tilde{w}}\,,\quad \bar{S}\tilde{v}=-\tilde{u}\,,\quad S\tilde{u}=-%
\tilde{v}\,,   \\
&&\bar{S}S=1\,,\quad S\bar{S}=1\,,\quad \bar{S}\tilde{T}=1-\tilde{u}\bar{%
\tilde{w}}\,,\quad \tilde{T}\bar{S}=1-{\frac{\kappa _{e}^{-1}w\bar{w}\kappa
_{e}}{1+\bar{w}w}}\,,   \\
&&S\tilde{w}={\frac{2}{\pi }}{\frac{\kappa _{e}w}{1+\bar{w}w}}\,,\quad 
\tilde{T}\tilde{u}={\frac{2}{\pi }}{\frac{\kappa _{e}^{-1}w}{1+\bar{w}w}}%
\,,\quad \bar{\tilde{T}}\tilde{v}=-\tilde{u}+\left( {\frac{2}{\pi }}\right)
^{2}\bar{w}\kappa _{e}^{-2}w\tilde{w}\,,   \\
&&\bar{\tilde{w}}\tilde{u}=\bar{v}v={\frac{\bar{w}w}{1+\bar{w}w}}\,,\quad 
\bar{\tilde{v}}\tilde{v}=\left( {\frac{2}{\pi }}\right) ^{2}\bar{w}\kappa
_{e}^{-2}w\,,\quad \bar{\tilde{u}}\tilde{u}=\left( {\frac{2}{\pi }}\right)
^{2}\bar{v}\kappa _{o}^{-2}v\,.
\end{eqnarray}
Furthermore, note that for any $N,\kappa _{e,}\kappa _{o}$ we have 
\begin{equation}
\bar{w}\kappa _{e}^{-2}w=\bar{v}\kappa _{o}^{-2}v=\sum_{o>0}\kappa
_{o}^{-2}-\sum_{e>0}\kappa _{e}^{-2}.  \label{w2w}
\end{equation}
The right hand side converges to ${\frac{\pi ^{2}}{12}}$ if we take the open
string limit $\kappa _{e}=e,~\kappa _{o}=o,~N=\infty $. More relations of
this type can be found in the next subsection.

\subsubsection{GL$\left( N|N\right) $ supergroup property of the regulator 
\label{w2relations}}

In this subsection we take a small detour to make an observation on the
regulator whose significance for computations in MSFT is not yet fully
apparent, but which is mathematically interesting, and could be useful in
future applications. Many computations in MSFT boil down to expressions of
the form $\bar{w}f\left( \kappa \right) w$ where $f\left( \kappa \right) $
is a matrix constructed from the frequencies $\kappa _{e},\kappa _{o}$
through the regulated matrices we discussed above. Therefore, we are
interested in developing analytic methods of computation involving such
expressions, in particular for arbitrary frequencies $\kappa _{e},\kappa
_{o} $. In such computations the properties of the supergroup GL$\left(
N|N\right) $ mysteriously makes an appearance, as follows.

By using explicitly the expression for $w_{e}$ given in Eq.(\ref{we}), we
have 
\begin{equation}
\bar{w}f\left( \kappa _{e}^{2}\right) w=\sum_{e}f\left( \kappa
_{e}^{2}\right) \frac{\det_{o}\left( \kappa _{e}^{2}\kappa
_{o}^{-2}-1\right) }{\det_{e^{\prime }\neq e}\left( \kappa _{e}^{2}\kappa
_{e^{\prime }}^{-2}-1\right) }=\oint \frac{dz}{2\pi i}\frac{f\left(
z\right) }{z}\frac{\det \left( 1-z\kappa _{o}^{-2}\right) }{\det \left(
1-z\kappa _{e}^{-2}\right) }\,,
\end{equation}
where the contour encircles only the poles at $z=\kappa _{e}^{2}.$ The
contour may then be deformed to evaluate the integral. When $f\left( \kappa
_{e}^{2}\right) =1$ or $\kappa _{e}^{-2}$ the results have already been
given in Eqs.(\ref{w2+1},\ref{w2w}). We note that these may be written in
the form 
\begin{equation}
\bar{w}w=-1+\text{Sdet}\left( \kappa ^{2}\right)\,,~~~\bar{w}\kappa
_{e}^{-2}w=-Str\left( \kappa ^{-2}\right)\,,  \label{sdet}
\end{equation}
where we used the superdeterminant (Sdet) and supertrace $\left( Str\right) $
by treating the matrix 
\begin{equation}
\kappa =\left( 
\begin{array}{cc}
\kappa _{e} & 0 \\ 
0 & \kappa _{o}
\end{array}
\right) 
\end{equation}
\textit{as if} it is a graded GL$\left( N|N\right) $ super matrix. When 
$f\left( \kappa _{e}^{2}\right) =\kappa _{e}^{-2n},$ with $n=1,2,\cdots
,$ we note that the contour integral is precisely the integral
representation of
the supercharacter of GL$\left( N|N\right) $ for the representation of GL$%
\left( N|N\right) $ described by a Young supertableau with a single row with 
$n$ superboxes \cite{supercharacter} 
\begin{equation}
\bar{w}\kappa _{e}^{-2n}w=-\chi _{n}\left( \kappa ^{-2}\right) .
\label{charn}
\end{equation}
The expression for the supercharacter $\chi _{n}\left( M\right) $ for any
supermatrix $M,$ can also be written in terms of supertraces of powers of $M$
in the fundamental representation, as given in \cite{supercharacter}. By
taking advantage of this observation we evaluate $\chi _{n}\left( \kappa
^{-2}\right) $ in terms of the supertraces of powers of $\kappa ^{-2}.$ For
example, $\chi _{2}\left( M\right) =\frac{1}{2}Str\left( M^{2}\right) +\frac{%
1}{2}\left( Str\left( M\right) \right) ^{2},$ which gives the following
interesting expression for the sum 
\begin{equation}
\bar{w}\kappa _{e}^{-4}w=-\chi _{2}\left( \kappa ^{-2}\right) =-\frac{1}{2}%
\left[ Tr\left( \kappa _{e}^{-4}\right) -Tr\left( \kappa _{o}^{-4}\right) 
\right] -\frac{1}{2}\left[ Tr\left( \kappa _{e}^{-2}\right) -Tr\left( \kappa
_{o}^{-2}\right) \right] ^{2}.  \label{w4w}
\end{equation}
We can check the correctness of Eq.(\ref{charn}) in the limit $\kappa
_{e}=e,~\kappa _{o}=o,~N=\infty $. In this limit, since $w_{e}\rightarrow 
\sqrt{2}\,i^{2-e},$ we can evaluate the sum on the left side directly in terms
of the zeta function, $\bar{w}\kappa _{e}^{-2n}w\rightarrow
2\sum_{k=1}^{\infty }\left( 2k\right) ^{-2n}=\frac{2}{2^{2n}}\zeta \left(
2n\right) ,$ and then compare it to the value generated by the
supercharacter $-\chi _{n}\left( \kappa ^{-2}\right) $ in the limit.

For example, for $n=1$ the right hand side of Eq.(\ref{charn}) is already
given following Eq.(\ref{w2w}), and this agrees with the left hand side
which is $\frac{2}{2^{2}}\zeta \left( 2\right) $. Similarly, for $n=2$ the
left hand side of Eq.(\ref{w4w}) gives $\frac{2}{2^{4}}\zeta \left( 4\right)
=\allowbreak \frac{1}{720}\pi ^{4}$ while the right hand side gives $\frac{7%
}{16}\zeta \left( 4\right) -\frac{1}{8}\left( \zeta \left( 2\right) \right)
^{2}=\allowbreak \frac{1}{720}\pi ^{4}$ which agree. The GL$\left(
N|N\right) $ supergroup property of these sums is intriguing. It may be the
signal of an underlying mathematical structure that could be helpful in
computations in MSFT.

\subsection{Moyal $\star $ from Witten's $\ast $ for fermionic modes \label%
{sec:odd_Moyal}}

The second step in constructing the map from Witten's star to Moyal's star
is to perform the Fourier transformation from position space to momentum
space for a subset of string modes \cite{B1}. We recall the definition of
Witten's $\ast $-product for functions of split strings in the ghost sector 
\begin{equation}
\Psi _{1}\ast \Psi _{2}[l(\sigma ),r(\sigma )]\sim \int \mathcal{D}z(\sigma
)\Psi _{1}[l(\sigma ),z(\sigma )]\Psi _{2}[\pm z(\sigma ),r(\sigma )]\,\,.
\end{equation}
For the $bc$ ghost sector, we consider two types of overlapping conditions 
\cite{GJ}. The anti-overlapping condition (resp. overlapping condition) is
defined by choosing the minus (resp. plus) sign in this formula. In both
cases the Witten $\ast $ product is mapped to the Moyal $\star $ product as
follows.

We denote the string field as $\Psi \lbrack l,r]$ in the split string
formulation and as ${\hat{\Psi}}[x,p]$ in the Moyal formulation. The
variables $l,r,x,p$ are all fermionic and we consider the simplified
situation where each of them represents a single degree of freedom. The
generalization to multiple variables is straightforward. For the simplified
setup we define Witten's star product in the split string formalism
(ignoring the midpoint for the time being) as 
\begin{equation}
\Psi _{1}\ast \Psi _{2}[l,r]=(-1)^{|\Psi _{1}|}\int dw\,\Psi _{1}[l,w]\,\Psi
_{2}[\pm w,r]\,.  \label{eq:anti-star}
\end{equation}
The sign factor $(-1)^{|\Psi _{1}|}$ (Grassmann parity of $\Psi _{1}$) is
needed to make the $\ast $ product associative. We define the mapping from a
string field in the split string picture $\Psi \lbrack l,r]$ to the Moyal
picture ${\hat{\Psi}}[x,p]$ by using the Fourier transform\footnote{%
If $l$ and $r$ consist of $N$ variables, the sign factor on the right hand
sides of Eqs.(\ref{eq:anti-star})(\ref{anti-from half})(\ref{anti-to half})
become $(-1)^{|\Psi _{1}|N},(\pm 1)^{N},(\pm 1)^{N}$ respectively. In
particular, they are trivial in the case that $N$ is even.} 
\begin{eqnarray}
{\hat{\Psi}}[x,p] &=&\pm \int dy\,e^{-py}\,\Psi \left[ \pm x+{\frac{y}{2}}%
,x\mp {\frac{y}{2}}\right] \,,  \label{anti-from half} \\
\Psi \lbrack l,r] &=&\pm \int dp\,e^{p(l\mp r)}\,{\hat{\Psi}}\left[ {\frac{%
r\pm l}{2}},p\right] \,.  \label{anti-to half}
\end{eqnarray}
Witten's star for $\Psi $ is then mapped to Moyal's star for $\hat{\Psi}$: 
\begin{equation}
{\hat{\Psi}}_{1}\star {\hat{\Psi}}_{2}[x,p]={\hat{\Psi}}_{1}[x,p]\exp \left(
\mp {\frac{1}{2}}\left( {\frac{\overleftarrow{\partial }}{\partial x}}{\frac{%
\overrightarrow{\partial }}{\partial p}}+{\frac{\overleftarrow{\partial }}{%
\partial p}}{\frac{\overrightarrow{\partial }}{\partial x}}\right) \right) {%
\hat{\Psi}}_{2}[x,p]\,.  \label{eq:anti-Moyal}
\end{equation}
The derivation of this correspondence is completely parallel to the bosonic
case \cite{B1}: 
\begin{eqnarray}
&&{\hat{\Psi}}_{1}[x,p]e^{\mp {\frac{1}{2}}\left( {\frac{\overleftarrow{%
\partial }}{\partial x}}{\frac{\overrightarrow{\partial }}{\partial p}}+{%
\frac{\overleftarrow{\partial }}{\partial p}}{\frac{\overrightarrow{\partial 
}}{\partial x}}\right) }{\hat{\Psi}}_{2}[x,p]  \notag \\
&=&\left( \pm \int dy_{1}\,e^{-py_{1}}\,\Psi _{1}\left[ \pm x+{\frac{y_{1}}{2%
}},x\mp {\frac{y_{1}}{2}}\right] \right) e^{\mp {\frac{1}{2}}\left( {\frac{%
\overleftarrow{\partial }}{\partial x}}{\frac{\overrightarrow{\partial }}{%
\partial p}}+{\frac{\overleftarrow{\partial }}{\partial p}}{\frac{%
\overrightarrow{\partial }}{\partial x}}\right) }\left( \pm \int
dy_{2}\,e^{-py_{2}}\,\Psi _{2}\left[ \pm x+{\frac{y_{2}}{2}},x\mp {\frac{%
y_{2}}{2}}\right] \right)  \notag \\
&=&(-1)^{|\Psi _{1}|}\int dy_{1}dy_{2}\left( \Psi _{1}\left[ \pm x+{\frac{%
y_{1}}{2}},x\mp {\frac{y_{1}}{2}}\right] e^{-py_{1}}\right) e^{\mp {\frac{1}{%
2}}\left( {\frac{\overleftarrow{\partial }}{\partial x}}{\frac{%
\overrightarrow{\partial }}{\partial p}}+{\frac{\overleftarrow{\partial }}{%
\partial p}}{\frac{\overrightarrow{\partial }}{\partial x}}\right) }\left(
e^{-py_{2}}\,\Psi _{2}\left[ \pm x+{\frac{y_{2}}{2}},x\mp {\frac{y_{2}}{2}}%
\right] \right)  \notag \\
&=&(-1)^{|\Psi _{1}|}\int dy_{1}dy_{2}\,\Psi _{1}\left[ \pm x+{\frac{y_{1}}{2%
}},x\mp {\frac{y_{1}}{2}}\right] e^{\pm {\frac{1}{2}}{\frac{\overleftarrow{%
\partial }}{\partial x}}y_{2}}e^{-p(y_{1}+y_{2})}e^{\mp {\frac{1}{2}}y_{1}{%
\frac{\overrightarrow{\partial }}{\partial x}}}\Psi _{2}\left[ \pm x+{\frac{%
y_{2}}{2}},x\mp {\frac{y_{2}}{2}}\right]  \notag \\
&=&(-1)^{|\Psi _{1}|}\int dy_{1}dy_{2}\,e^{-p(y_{1}+y_{2})}\Psi _{1}\left[
\pm x+{\frac{y_{1}+y_{2}}{2}},x\mp {\frac{y_{1}-y_{2}}{2}}\right] \Psi _{2}%
\left[ \pm x-{\frac{y_{1}-y_{2}}{2}},x\mp {\frac{y_{1}+y_{2}}{2}}\right] 
\notag \\
&=&\pm (-1)^{|\Psi _{1}|}\int dye^{-py}\int dz\,\Psi _{1}\left[ \pm x+{\frac{%
y}{2}},z\right] \Psi _{2}\left[ \pm z,x\mp {\frac{y}{2}}\right]  \notag \\
&=&\pm \int dye^{-py}\,\left( \Psi _{1}\ast \Psi _{2}\right) \left[ \pm x+{%
\frac{y}{2}},x\mp {\frac{y}{2}}\right] =:\hat{\Psi}_{1}\star \hat{\Psi}%
_{2}[x,p]\,.
\end{eqnarray}
The form of the product in Eq.(\ref{eq:anti-Moyal}) is similar to the
ordinary Moyal product although the derivatives in the exponential are for
fermionic variables. This Moyal $\star $ product is associative and
non-commutative.

From Eq.(\ref{anti-to half}), we also obtain the correspondence between the
definition of trace in the split-string formulation, which we take with the
anti-periodic condition, and that of Moyal one which is given by an
integration in \textquotedblleft phase space\textquotedblright\ 
\begin{equation}
\mathrm{Tr}\,\Psi :=\int dz\,\Psi \lbrack \pm z,z]=\pm \int dxdp\,\hat{\Psi}[
x,p]=:\pm \mathrm{Tr}\,\hat{\Psi}\,.
\end{equation}

\subsection{Moyal $\star $ product in the $bc$ ghost sector \label%
{sec:Moyalbc}}

In this section we define the Moyal $\star $ product which represents
Witten's star product using the results in \S \ref{sec:sine}, 
\S \ref{sec:odd_Moyal}, \S \ref{sec:cosine}. We first review the
conventional operator formalism to fix the
notation in the $bc$ ghost sector. We take the ghost coordinates $b(\sigma
),c(\sigma )$ and their conjugates $\pi _{b}(\sigma ),\pi _{c}(\sigma )$ 
\begin{equation}
b^{\pm }(\sigma )=\sum_{n=-\infty }^{\infty }\hat{b}_{n}e^{\pm in\sigma
}=\pi _{c}(\sigma )\mp ib(\sigma )\,,\qquad c^{\pm }(\sigma
)=\sum_{n=-\infty }^{\infty }\hat{c}_{n}e^{\pm in\sigma }=c(\sigma )\pm i\pi
_{b}(\sigma )\,.  \label{eq:ghosts_coord}
\end{equation}
We introduce the fermionic variables $\hat{x}_{n},\hat{y}_{n}$ and their
conjugates $\hat{p}_{n},\hat{q}_{n}$ as follows 
\begin{eqnarray}
&&b(\sigma )=-\sum_{n=1}^{\infty }(\hat{b}_{n}-\hat{b}_{-n})\sin n\sigma =i%
\sqrt{2}\sum_{n=1}^{\infty }\hat{x}_{n}\sin n\sigma \,,  \label{eq:bsigma} \\
&&c(\sigma )=\hat{c}_{0}+\sum_{n=1}^{\infty }(\hat{c}_{n}+\hat{c}_{-n})\cos
n\sigma =\hat{c}_{0}+\sqrt{2}\sum_{n=1}^{\infty }\hat{y}_{n}\cos n\sigma \,,
\label{eq:csigma} \\
&&\pi _{b}(\sigma )=\sum_{n=1}^{\infty }(\hat{c}_{n}-\hat{c}_{-n})\sin
n\sigma =-i\sqrt{2}\sum_{n=1}^{\infty }\hat{p}_{n}\sin n\sigma \,, \\
&&\pi _{c}(\sigma )=\hat{b}_{0}+\sum_{n=1}^{\infty }(\hat{b}_{n}+\hat{b}%
_{-n})\cos n\sigma =\hat{b}_{0}+\sqrt{2}\sum_{n=1}^{\infty }\hat{q}_{n}\cos
n\sigma \,.
\end{eqnarray}
The nonzero modes $\hat{x}_{n},\hat{y}_{n},\hat{p}_{n},\hat{q}_{n}$ are
related to $\hat{b}_{n},\hat{c}_{n}$: 
\begin{equation}
\hat{x}_{n}={\frac{i}{\sqrt{2}}}(\hat{b}_{n}-\hat{b}_{-n})\,,\quad \hat{y}%
_{n}={\frac{1}{\sqrt{2}}}(\hat{c}_{n}+\hat{c}_{-n})\,,\quad \hat{p}_{n}={%
\frac{i}{\sqrt{2}}}(\hat{c}_{n}-\hat{c}_{-n})\,,\quad \hat{q}_{n}={\frac{1}{%
\sqrt{2}}}(\hat{b}_{n}+\hat{b}_{-n})\,,
\end{equation}
and the canonical commutation relation $\{\hat{b}_{n},\hat{c}_{m}\}=\delta
_{m+n,0}$ can be rewritten as 
\begin{equation}
\{\hat{x}_{n},\hat{p}_{m}\}=\delta _{n,m}\,,\quad \{\hat{y}_{n},\hat{q}%
_{m}\}=\delta _{n,m}\,,\qquad n,m=1,2,\cdots \,.
\end{equation}
We represent the string field by treating $c_{0}$ and $x_{n},y_{n}$ as the
``position'' coordinates. The translation between Fock space representation
and position representation is made through 
\begin{equation}
\Psi (c_{0},x_{n},y_{n})=\langle c_{0},x_{n},y_{n}|\Psi \rangle \,.
\end{equation}
Here we introduced the bra state $\langle c_{0},x_{n},y_{n}|$ (and the
corresponding ket state) as states in Fock space which satisfy the
eigenvalue conditions for the operators $\hat{c}_{0},\hat{x}_{n},\hat{y}_{n}$%
, 
\begin{eqnarray}
&&\langle c_{0},x_{n},y_{n}|\hat{c}_{0}=\langle
c_{0},x_{n},y_{n}|c_{0}\,,~~\langle c_{0},x_{n},y_{n}|\hat{x}_{n}=\langle
c_{0},x_{n},y_{n}|x_{n}\,,~~\langle c_{0},x_{n},y_{n}|\hat{y}_{n}=\langle
c_{0},x_{n},y_{n}|y_{n}\,,\nonumber\\
&&\hat{c}_{0}|c_{0},x_{n},y_{n}\rangle =c_{0}|c_{0},x_{n},y_{n}\rangle \,,~~%
\hat{x}_{n}|c_{0},x_{n},y_{n}\rangle =x_{n}|c_{0},x_{n},y_{n}\rangle \,,~~%
\hat{y}_{n}|c_{0},x_{n},y_{n}\rangle =y_{n}|c_{0},x_{n},y_{n}\rangle\,.
\nonumber
\end{eqnarray}
Explicitly these are given by 
\begin{eqnarray}
&&\langle c_{0},x_{n},y_{n}|=\langle \Omega |{\hat{c}}_{-1}{\hat{c}}_{0}\exp
\left( c_{0}\hat{b}_{0}+\sum_{n=1}^{\infty }\left( -\hat{c}_{n}\hat{b}_{n}-i%
\sqrt{2}\hat{c}_{n}x_{n}+\sqrt{2}y_{n}\hat{b}_{n}+iy_{n}x_{n}\right) \right)
\,, \\
&&|c_{0},x_{n},y_{n}\rangle =\exp \left( \hat{b}_{0}c_{0}+\sum_{n=1}^{\infty
}\left( -\hat{b}_{-n}\hat{c}_{-n}+i\sqrt{2}x_{n}\hat{c}_{-n}+\sqrt{2}\hat{b}%
_{-n}y_{n}-ix_{n}y_{n}\right) \right) \hat{c}_{0}\hat{c}_{1}|\Omega \rangle
~~~  \label{e_bra_xy}
\end{eqnarray}
where $\langle \Omega |,|\Omega \rangle $ represents the conformal vacuum%
\footnote{%
We take the convention that $|\Omega \rangle $ is Grassmann even and $%
\langle \Omega |$ is odd.} normalized as $\langle \Omega |\hat{c}_{-1}\hat{c}%
_{0}\hat{c}_{1}|\Omega \rangle =1$. These bras and kets satisfy the
normalization and completeness relations 
\begin{eqnarray}
&&\langle c_{0},x_{n},y_{n}|c_{0}^{\prime },x_{n}^{\prime },y_{n}^{\prime
}\rangle =-(c_{0}-c_{0}^{\prime })\prod_{n=1}^{\infty }\left(
-2i(x_{n}-x_{n}^{\prime })(y_{n}-y_{n}^{\prime })\right) \,, \\
&&-\int dc_{0}\int \prod_{n=1}^{\infty }{\frac{dx_{n}dy_{n}}{2i}}%
|c_{0},x_{n},y_{n}\rangle \langle c_{0},x_{n},y_{n}|=1\,.
\end{eqnarray}
Witten's star product for the ghost sector is defined by the
(anti-)overlapping conditions \cite{GJ}, 
\begin{equation}
b^{\pm (r)}(\sigma )-b^{\pm (r-1)}(\pi -\sigma )=0\,,\quad c^{\pm
(r)}(\sigma )+c^{\pm (r-1)}(\pi -\sigma )=0\,,
\end{equation}
for $\quad r=1,2,3\,\mathrm{mod}\,3\,,~~\sigma \in \lbrack 0,\pi /2],\,$\ or
equivalently 
\begin{eqnarray}
&&b^{(r)}(\sigma )-b^{(r-1)}(\pi -\sigma )=0\,,\quad c^{(r)}(\sigma
)+c^{(r-1)}(\pi -\sigma )=0\,,  \label{eq:bc_overlapping} \\
&&\pi _{b}^{(r)}(\sigma )+\pi _{b}^{(r-1)}(\pi -\sigma )=0\,,\quad \pi
_{c}^{(r)}(\sigma )-\pi _{c}^{(r-1)}(\pi -\sigma )=0\,\,.
\end{eqnarray}
These (anti-)overlapping conditions for $bc$ ghost will be used to define
the mapping from Witten's $\ast $ to Moyal's $\star $ by using Eq.(\ref
{anti-from half}) defined in the previous section.

To apply the formulation in \S \ref{sec:odd_Moyal}, we need to specify the
boundary conditions of the split string variables, since we have to use the
Bogoliubov transformation given in \S \ref{sec:sine}/\S \ref{sec:cosine}
accordingly. At $\sigma =0,\pi $, $b(\sigma )$ (resp. $c(\sigma )$)
satisfies the Dirichlet (resp. Neumann) boundary condition. On the other
hand, at the midpoint, there are two options, namely Neumann or Dirichlet
type boundary conditions. In the following we choose the Neumann condition
for $b(\sigma )$ and Dirichlet condition for $c(\sigma )$\footnote{%
The other choice (Neumann for $b$ and Dirichlet for $c$ at the midpoint) is
discussed in the appendix \ref{DDNN}. It gives equivalent but more
complicated expression for the Moyal formulation.}.

In the split string language, the left and right halves of $b(\sigma
)$,  $l^{b}(\sigma ),r^{b}(\sigma ),$ satisfy Dirichlet at $\sigma =0$
and Neumann at $\sigma =\pi /2$, while the left and right halves of
$c(\sigma )$, $l^{c}(\sigma ),r^{c}(\sigma ),$ 
satisfy Neumann at $\sigma =0$ and Dirichlet
at $\pi /2$. With this choice, $l^{b}(\sigma ),r^{b}(\sigma )$ are expanded
by using \textit{odd} sine modes: $\{\sin o\sigma ,~o=1,3,5,\cdots \}$,
and $l^{c}(\sigma ),r^{c}(\sigma )$ by using \textit{odd} cosine modes: 
$\{\cos o\sigma ,~o=1,3,5,\cdots \}$ : 
\begin{eqnarray}
l^{b}(\sigma ) &=&i\sqrt{2}\sum_{o=1}^{\infty }l_{o}^{b}\sin o\sigma
\,,\;\;r^{b}(\sigma )=i\sqrt{2}\sum_{o=1}^{\infty }r_{o}^{b}\sin o\sigma \,,
\\
l^{c}(\sigma ) &=&\bar{c}+\sqrt{2}\sum_{o=1}^{\infty }l_{o}^{c}\cos o\sigma
\,,\;\;r^{c}(\sigma )=\bar{c}+\sqrt{2}\sum_{o=1}^{\infty }r_{o}^{c}\cos
o\sigma \,.
\end{eqnarray}
From Eqs.(\ref{eq:bsigma})(\ref{eq:csigma})(\ref{eq:sinDN_psi2lr})(\ref
{eq:oddcos}), we have the relations between split- and full-string variables 
\begin{eqnarray}
&&l_{o}^{b}=\bar{S}x_{e}+x_{o},\quad r_{o}^{b}=-\bar{S}x_{e}+x_{o}\,,
\label{half_odd_b} \\
&&\bar{c}=c_{0}-\bar{w}y_{e},\quad l_{o}^{c}=Ry_{e}+y_{o},\quad
r_{o}^{c}=Ry_{e}-y_{o}\,  \label{half_odd_c}
\end{eqnarray}
where we used a matrix notation. Witten's $\ast $ product for the split
string formulation is written as\footnote{%
Here we consider \textit{naive} overlapping condition. To obtain the
conventional Witten's star product, as we will show, we should treat
midpoint variable $\bar{c}$ more carefully. The phase factor $i$ in the
measure is only convention so that it is ``real''\ $(idx_{e}dy_{e})^{\dagger
}=idx_{e}dy_{e}$. Here we define complex conjugate for fermionic variables $%
\xi ,\xi ^{\prime }$ as $(\xi \xi ^{\prime })^{\dagger }=(\xi ^{\prime
